compound_code	compound_name	cd630_streptomycin_score	olsenella_630_score	ratio	magnitude	interaction_score	percentile
C05528	3-Sulfopyruvate	-9.347	-3.322	0.015	661.22	-3.344	60.0
C00944	3-Dehydroquinate	-3.17	1.585	0.333	12.001	-2.0	50.0
C02430	L-Methionyl-tRNA	-4.585	-4.807	0.857	51.994	-5.478	90.0
C14819	Fe3+	-8.755	-4.7	0.06	458.026	-4.784	90.0
C00433	2,5-Dioxopentanoate	2.807	3.0	0.936	14.998	3.811	70.0
C00438	N-Carbamoyl-L-aspartate	-5.17	0.585	0.042	37.502	-0.644	60.0
C00826	L-Arogenate	2.807	3.322	0.845	16.999	3.844	70.0
C01181	4-Trimethylammoniobutanoate	-2.807	-3.0	0.875	14.998	-3.714	70.0
C04877	UDP-N-acetylmuramoyl-L-alanyl-D-gamma-glutamyl-meso-2,6-diaminopimelate	4.17	-1.585	0.167	21.001	-1.807	50.0
C01185	Nicotinate_D-ribonucleotide	6.276	-1.0	0.026	79.493	-1.037	50.0
C15811	[Enzyme]-cysteine	7.033	3.17	0.451	139.962	5.979	90.0
C16688	Sucrose_6-phosphate	-1.0	-2.0	0.5	6.0	-1.585	50.0
C00506	L-Cysteate	9.347	3.322	0.355	661.22	7.877	90.0
C00227	Acetyl_phosphate	-3.236	-0.496	0.15	10.832	-0.697	60.0
C00226	Primary_alcohol	10.223	4.807	0.47	1223.163	9.168	90.0
C00221	beta-D-Glucose	5.044	4.0	0.793	48.991	5.28	80.0
C00385	Xanthine	-5.14	2.17	0.128	39.761	-2.343	50.0
C00387	Guanosine	6.109	3.7	0.606	82.019	5.634	80.0
C02504	alpha-Isopropylmalate	0.874	1.17	0.747	4.083	1.609	60.0
C00229	Acyl-carrier_protein	-1.585	-3.0	0.375	11.0	-2.044	50.0
C02291	L-Cystathionine	5.392	3.17	0.588	50.991	4.906	80.0
C00364	dTMP	-5.087	-2.585	0.177	39.989	-2.82	60.0
C00365	dUMP	3.7	1.648	0.445	16.13	2.845	70.0
C00363	dTDP	-4.248	-3.0	0.421	27.001	-3.507	70.0
C00009	Orthophosphate	-5.728	-3.17	0.17	62.003	-3.396	70.0
C00008	ADP	-6.62	1.322	0.025	100.86	-1.358	50.0
C00006	NADP+	-5.807	-2.585	0.107	61.986	-2.732	60.0
C00003	NAD+	-3.415	-1.874	0.344	14.332	-2.3	50.0
C00002	ATP	6.552	2.054	0.313	97.984	4.941	80.0
