compound_code	compound_name	bacteroides_630_score	lactobacillus_630_score	ratio	magnitude	interaction_score	percentile
C00025	L-Glutamate	-3.427	8.048	0.041	275.416	-3.484	60.0
C00024	Acetyl-CoA	1.97	-10.705	0.002	1673.186	-1.973	50.0
C00026	2-Oxoglutarate	4.904	6.449	0.76	117.306	6.479	70.0
C00021	S-Adenosyl-L-homocysteine	-6.148	8.266	0.23	378.746	-6.447	90.0
C00352	D-Glucosamine_6-phosphate	-0.515	-9.615	0.002	785.587	-0.518	60.0
C00022	Pyruvate	-1.121	-9.441	0.003	697.238	-1.126	50.0
C00141	3-Methyl-2-oxobutanoic_acid	-0.547	7.29	0.009	157.959	-0.56	60.0
C00147	Adenine	-4.409	7.535	0.115	206.709	-4.565	70.0
C00149	(S)-Malate	-1.5	5.426	0.066	45.821	-1.592	50.0
C02430	L-Methionyl-tRNA	-4.807	-8.155	0.098	313.029	-4.942	80.0
C00345	6-Phospho-D-gluconate	-2.807	5.807	0.125	62.985	-2.977	60.0
C06311	Galactitol_1-phosphate	-2.322	-5.334	0.124	45.336	-2.491	50.0
C04039	2,3-Dihydroxy-3-methylbutanoate	1.0	3.322	0.301	12.0	1.853	60.0
C00438	N-Carbamoyl-L-aspartate	0.585	-4.209	0.081	19.994	-0.698	50.0
C01228	Guanosine_3',5'-bis(diphosphate)	-3.322	-7.858	0.043	242.004	-3.383	60.0
C00705	dCDP	-5.672	7.732	0.24	263.585	-5.982	90.0
C06250	Holo-[carboxylase]	8.969	-7.86	0.464	733.441	-8.41	90.0
C00231	D-Xylulose_5-phosphate	-0.107	7.431	0.006	173.642	-0.116	60.0
C06007	(R)-2,3-Dihydroxy-3-methylpentanoate	0.7	3.322	0.211	11.625	1.293	60.0
C00011	CO2	0.787	4.24	0.186	20.621	1.936	70.0
C00014	Ammonia	-3.116	7.98	0.034	261.145	-3.165	60.0
C00015	UDP	4.7	-5.276	0.671	64.739	-5.441	80.0
C00019	S-Adenosyl-L-methionine	5.889	0.807	0.137	61.01	3.064	70.0
C05796	Galactan	9.136	9.89	0.924	1511.44	10.447	90.0
C00152	L-Asparagine	-1.256	-7.951	0.01	249.839	-1.27	50.0
C00886	L-Alanyl-tRNA	-2.322	-9.063	0.009	539.854	-2.335	50.0
C00294	Inosine	4.807	8.074	0.595	297.467	7.468	80.0
C05345	beta-D-Fructose_6-phosphate	3.005	10.036	0.299	1057.901	8.307	90.0
C02051	Lipoylprotein	-8.823	-10.237	0.375	1659.709	-9.283	90.0
C03511	L-Phenylalanyl-tRNA(Phe)	-0.585	-8.786	0.003	442.918	-0.59	50.0
C00385	Xanthine	-3.858	-6.404	0.171	99.183	-4.086	70.0
C00387	Guanosine	4.807	8.296	0.579	342.293	7.632	80.0
C00229	Acyl-carrier_protein	9.116	-3.807	0.025	568.864	-3.843	70.0
