compound_code	compound_name	parabacteroides_630_score	cd630_streptomycin_score	ratio	magnitude	interaction_score	percentile
C05528	3-Sulfopyruvate	-6.476	-9.347	0.0	0.0	0.0	50.0
C00148	L-Proline	2.536	8.987	0.282	513.207	7.178	90.0
C00149	(S)-Malate	-2.752	1.415	0.396	9.403	-1.896	70.0
C00944	3-Dehydroquinate	-3.858	-3.17	0.0	0.0	0.0	50.0
C02430	L-Methionyl-tRNA	-4.248	-4.585	0.0	0.0	0.0	50.0
C04332	6,7-Dimethyl-8-(D-ribityl)lumazine	2.0	-3.322	0.4	14.0	-2.485	70.0
C14819	Fe3+	-5.524	-8.755	0.0	0.0	0.0	50.0
C14818	Fe2+	5.524	8.755	0.631	478.048	8.237	90.0
C00437	N-Acetylornithine	4.17	4.0	0.959	34.001	5.027	70.0
C00438	N-Carbamoyl-L-aspartate	3.115	-5.17	0.241	44.666	-3.426	80.0
C00826	L-Arogenate	5.392	2.807	0.521	48.989	4.673	70.0
C04877	UDP-N-acetylmuramoyl-L-alanyl-D-gamma-glutamyl-meso-2,6-diaminopimelate	-1.585	4.17	0.167	21.001	-1.807	60.0
C04874	2-Amino-4-hydroxy-6-(D-erythro-1,2,3-trihydroxypropyl)-7,8-dihydropteridine	2.0	5.555	0.36	51.013	4.199	70.0
C01185	Nicotinate_D-ribonucleotide	3.632	6.276	0.579	89.891	5.701	80.0
C00794	D-Sorbitol	-5.358	8.912	0.085	522.716	-5.476	90.0
C16219	3-Oxostearoyl-[acp]	8.852	-5.7	0.113	514.065	-5.854	90.0
C00227	Acetyl_phosphate	0.387	-3.236	0.139	10.729	-0.575	60.0
C00221	beta-D-Glucose	-5.716	5.044	0.628	85.555	-5.747	90.0
C00385	Xanthine	2.459	-5.14	0.156	40.759	-2.668	70.0
C00387	Guanosine	-2.222	6.109	0.068	73.688	-2.316	70.0
C00229	Acyl-carrier_protein	4.931	-1.585	0.098	33.506	-1.72	60.0
C00546	Methylglyoxal	-5.358	-7.028	0.0	0.0	0.0	50.0
C02291	L-Cystathionine	6.15	5.392	0.877	113.003	6.63	80.0
C00364	dTMP	2.7	-5.087	0.191	40.487	-2.952	70.0
C00365	dUMP	-4.183	3.7	0.715	31.16	-4.479	80.0
C00363	dTDP	5.883	-4.248	0.322	78.016	-4.651	80.0
C00009	Orthophosphate	-4.858	-5.728	0.0	0.0	0.0	50.0
C00008	ADP	2.585	-6.62	0.061	104.36	-2.67	70.0
C00007	Oxygen	-5.322	8.7	0.096	455.875	-5.454	90.0
C00006	NADP+	-4.858	-5.807	0.0	0.0	0.0	50.0
C00003	NAD+	-2.415	-3.415	0.0	0.0	0.0	50.0
C00002	ATP	5.839	6.552	0.891	151.073	7.073	90.0
C00369	Starch	4.508	8.058	0.559	289.255	7.338	90.0
C05703	Methaneselenol	-4.977	-9.048	0.0	0.0	0.0	50.0
C16619	6-Thioguanosine_monophosphate	-5.524	-6.322	0.0	0.0	0.0	50.0
C16618	6-Thioxanthine_5'-monophosphate	3.459	2.585	0.747	16.997	3.667	70.0
C16615	6-Methylthiopurine_5'-monophosphate_ribonucleotide	-5.585	-4.644	0.0	0.0	0.0	50.0
C16614	6-Methylmercaptopurine	5.585	4.644	0.832	73.004	5.924	80.0
C00099	beta-Alanine	-2.585	-2.841	0.0	0.0	0.0	50.0
C00310	D-Xylulose	-6.492	-2.585	0.0	0.0	0.0	50.0
C01931	L-Lysyl-tRNA	-6.022	-7.257	0.0	0.0	0.0	50.0
C01528	Hydrogen_selenide	-4.907	-10.043	0.0	0.0	0.0	50.0
C00091	Succinyl-CoA	-5.857	7.38	0.348	224.532	-6.288	90.0
C00092	D-Glucose_6-phosphate	7.766	-7.999	0.851	473.493	-8.654	90.0
C00093	sn-Glycerol_3-phosphate	5.129	5.724	0.896	87.849	6.299	80.0
C00095	D-Fructose	-5.322	-7.811	0.0	0.0	0.0	50.0
C00097	L-Cysteine	3.988	6.465	0.617	104.208	6.006	80.0
C06311	Galactitol_1-phosphate	-3.222	-8.745	0.0	0.0	0.0	50.0
C15667	5-Carboxyamino-1-(5-phospho-D-ribosyl)imidazole	5.044	4.392	0.871	53.986	5.555	80.0
C04732	5-Amino-6-(1-D-ribitylamino)uracil	-2.0	3.322	0.4	14.0	-2.485	70.0
C00166	Phenylpyruvate	4.206	6.647	0.633	118.674	6.231	80.0
C00167	UDP-glucuronate	-6.229	-4.7	0.0	0.0	0.0	50.0
C02988	L-Histidyl-tRNA(His)	-5.459	-5.672	0.0	0.0	0.0	50.0
C00163	Propanoate	5.322	7.913	0.673	281.02	7.562	90.0
C02987	L-Glutamyl-tRNA(Glu)	-6.728	-5.17	0.0	0.0	0.0	50.0
C03263	Coproporphyrinogen_III	4.7	5.728	0.821	78.995	6.018	80.0
C02047	L-Leucyl-tRNA	-5.17	-6.615	0.0	0.0	0.0	50.0
C03082	4-Phospho-L-aspartate	-4.217	-4.858	0.0	0.0	0.0	50.0
C04377	5,10-Methylenetetrahydromethanopterin	-9.243	-7.087	0.0	0.0	0.0	50.0
C04376	5'-Phosphoribosyl-N-formylglycinamide	3.0	6.087	0.493	75.978	5.227	80.0
C00860	L-Histidinol	-5.358	-3.585	0.0	0.0	0.0	50.0
C02962	D-Allose_6-phosphate	5.672	7.17	0.791	194.992	7.269	90.0
C00864	Pantothenate	-3.7	4.322	0.65	32.997	-4.422	80.0
C04272	(R)-2,3-Dihydroxy-3-methylbutanoate	-3.82	1.17	0.159	16.373	-1.383	60.0
C01419	Cys-Gly	5.209	8.276	0.629	346.962	7.771	90.0
C01412	Butanal	4.644	11.199	0.415	2375.907	9.944	90.0
C03402	L-Asparaginyl-tRNA(Asn)	-5.728	-5.672	0.0	0.0	0.0	50.0
C03406	N-(L-Arginino)succinate	-6.15	-5.129	0.0	0.0	0.0	50.0
C07648	Thioguanine	5.585	4.644	0.832	73.004	5.924	80.0
C01962	Thiocysteine	-6.15	-5.392	0.0	0.0	0.0	50.0
C00692	UDP-N-acetylmuramoyl-L-alanyl-D-glutamate	-3.585	-5.728	0.0	0.0	0.0	50.0
C18096	D-Allulose_6-phosphate	-5.672	-7.17	0.0	0.0	0.0	50.0
C00269	CDP-diacylglycerol	-2.121	-2.585	0.0	0.0	0.0	50.0
C00506	L-Cysteate	4.248	9.347	0.454	670.22	8.251	90.0
C00263	L-Homoserine	-0.329	-0.322	0.0	0.0	0.0	50.0
C00262	Hypoxanthine	2.544	5.285	0.481	44.821	4.431	70.0
C16217	3-Hydroxyoctadecanoyl-CoA	-9.033	-5.392	0.0	0.0	0.0	50.0
C16216	3-Oxostearoyl-CoA	9.033	5.392	0.597	565.837	8.4	90.0
C00267	alpha-D-Glucose	2.775	4.036	0.688	23.249	3.999	70.0
C00266	Glycolaldehyde	-5.066	-5.555	0.0	0.0	0.0	50.0
C04494	Guanosine_3'-diphosphate_5'-triphosphate	-6.768	-4.087	0.0	0.0	0.0	50.0
C00460	dUTP	-1.926	4.459	0.173	25.793	-2.156	70.0
C00286	dGTP	-0.143	-6.519	0.0	0.0	0.0	50.0
C00327	L-Citrulline	6.459	4.818	0.746	116.181	6.437	80.0
C04691	2-Dehydro-3-deoxy-D-arabino-heptonate_7-phosphate	5.322	-2.0	0.1	44.002	-2.137	70.0
C04051	5-Amino-4-imidazolecarboxyamide	-5.426	-5.492	0.0	0.0	0.0	50.0
C01209	Malonyl-[acyl-carrier_protein]	4.319	5.422	0.797	62.833	5.645	80.0
C00217	D-Glutamate	-1.503	5.19	0.078	39.339	-1.611	60.0
C00212	Adenosine	-3.524	5.369	0.278	52.83	-3.878	80.0
C00606	3-Sulfino-L-alanine	-4.524	-7.346	0.0	0.0	0.0	50.0
C05840	Iminoaspartate	3.585	-1.0	0.167	14.0	-1.222	60.0
C05841	Nicotinate_D-ribonucleoside	3.459	6.6	0.524	108.003	5.823	80.0
C00035	GDP	2.485	-5.832	0.098	62.563	-2.62	70.0
C00031	D-Glucose	5.637	3.07	0.545	58.161	4.985	70.0
C00135	L-Histidine	5.17	5.392	0.959	77.993	6.225	80.0
C00134	Putrescine	-3.7	4.392	0.619	33.991	-4.395	80.0
C00133	D-Alanine	3.0	-8.237	0.027	309.706	-3.038	70.0
C00131	dATP	-3.655	-3.885	0.0	0.0	0.0	50.0
C00130	IMP	-3.524	-4.392	0.0	0.0	0.0	50.0
C00043	UDP-N-acetyl-alpha-D-glucosamine	4.624	-4.011	0.654	40.781	-4.737	80.0
C00041	L-Alanine	-1.503	5.755	0.052	56.839	-1.577	60.0
C00047	L-Lysine	4.17	5.437	0.767	61.322	5.556	80.0
C00046	RNA	-5.631	-5.371	0.0	0.0	0.0	50.0
C00044	GTP	-4.486	-6.728	0.0	0.0	0.0	50.0
C00049	L-Aspartate	-2.2	-6.891	0.0	0.0	0.0	50.0
C00048	Glyoxylate	3.036	-5.049	0.248	41.308	-3.355	80.0
C06481	L-Seryl-tRNA(Sec)	-5.644	-7.119	0.0	0.0	0.0	50.0
C20440	alpha-D-Ribose_1,2-cyclic_phosphate_5-phosphate	4.585	5.492	0.835	69.005	5.848	80.0
C01101	L-Ribulose_5-phosphate	5.322	2.585	0.486	46.002	4.482	70.0
C01100	L-Histidinol_phosphate	5.358	3.17	0.592	50.013	4.887	70.0
C01103	Orotidine_5'-phosphate	-4.298	-4.03	0.0	0.0	0.0	50.0
C06007	(R)-2,3-Dihydroxy-3-methylpentanoate	-3.82	1.17	0.159	16.373	-1.383	60.0
C06006	(S)-2-Aceto-2-hydroxybutanoate	4.672	1.0	0.214	27.492	2.557	70.0
C05345	beta-D-Fructose_6-phosphate	5.425	8.032	0.675	304.704	7.685	90.0
C03451	(R)-S-Lactoylglutathione	5.17	6.741	0.767	142.967	6.777	90.0
C00036	Oxaloacetate	5.54	6.576	0.842	141.933	6.902	90.0
C05223	Dodecanoyl-[acyl-carrier_protein]	5.788	5.755	0.994	109.258	6.763	90.0
C00037	Glycine	8.689	2.201	0.253	417.312	6.724	90.0
C15809	Iminoglycine	4.17	1.585	0.38	21.001	2.997	70.0
C16698	N-Acetylmuramic_acid_6-phosphate	-4.954	-3.392	0.0	0.0	0.0	50.0
C00253	Nicotinate	-6.261	-6.668	0.0	0.0	0.0	50.0
C00251	Chorismate	-3.17	2.874	0.815	16.331	-3.734	80.0
C00255	Riboflavin	-5.285	5.0	0.821	70.989	-5.865	90.0
C05336	Selenomethionyl-tRNA(Met)	-5.459	-5.907	0.0	0.0	0.0	50.0
C00258	D-Glycerate	-1.322	2.0	0.625	6.5	-2.022	70.0
C05335	L-Selenomethionine	2.0	2.322	0.861	9.0	2.955	70.0
C01081	Thiamin_monophosphate	-5.322	-3.322	0.0	0.0	0.0	50.0
C00559	Deoxyadenosine	2.939	-5.816	0.136	64.005	-3.123	80.0
C00491	L-Cystine	6.15	5.392	0.877	113.003	6.63	80.0
C00493	Shikimate	0.617	-1.047	0.742	3.6	-1.418	60.0
C00886	L-Alanyl-tRNA	-6.229	-6.044	0.0	0.0	0.0	50.0
C00882	Dephospho-CoA	1.585	3.459	0.458	13.997	2.681	70.0
C00881	Deoxycytidine	-2.807	5.954	0.113	68.99	-2.961	70.0
C00078	L-Tryptophan	-4.644	5.044	0.758	57.993	-5.458	90.0
C00079	L-Phenylalanine	-1.632	-1.972	0.0	0.0	0.0	50.0
C00073	L-Methionine	-2.655	4.916	0.209	36.488	-2.928	70.0
C00077	L-Ornithine	-4.17	3.978	0.875	33.759	-4.885	80.0
C00074	Phosphoenolpyruvate	-7.257	-7.079	0.0	0.0	0.0	50.0
C00075	UTP	5.052	7.863	0.643	265.983	7.417	90.0
C00085	D-Fructose_6-phosphate	-3.322	9.159	0.017	581.655	-3.347	80.0
C00082	L-Tyrosine	-3.863	-5.147	0.0	0.0	0.0	50.0
C04640	2-(Formamido)-N1-(5'-phosphoribosyl)acetamidine	1.585	-6.0	0.047	67.0	-1.651	60.0
C03175	Shikimate_3-phosphate	-3.17	2.0	0.444	13.0	-2.53	70.0
C00089	Sucrose	-3.585	1.737	0.278	15.334	-2.091	70.0
C04646	6-Thioinosine-5'-monophosphate	-3.907	6.728	0.142	121.007	-4.098	80.0
C02218	Dehydroalanine	-4.524	-5.044	0.0	0.0	0.0	50.0
C00671	(S)-3-Methyl-2-oxopentanoic_acid	4.231	-4.322	0.939	38.779	-5.186	90.0
C00673	2-Deoxy-D-ribose_5-phosphate	5.728	-5.34	0.764	93.507	-6.159	90.0
C00106	Uracil	3.17	-2.755	0.75	15.751	-3.562	80.0
C00105	UMP	2.753	2.75	0.999	13.468	3.75	70.0
C00103	D-Glucose_1-phosphate	-4.747	-4.556	0.0	0.0	0.0	50.0
C00100	Propanoyl-CoA	4.044	4.129	0.979	33.992	5.057	70.0
C00101	Tetrahydrofolate	6.508	6.822	0.954	204.156	7.606	90.0
C15556	L-3,4-Dihydroxybutan-2-one_4-phosphate	3.17	1.585	0.5	12.001	2.585	70.0
C00109	2-Oxobutanoate	-4.129	-7.092	0.0	0.0	0.0	50.0
C04702	UDPMurAc(oyl-L-Ala-D-gamma-Glu-L-Lys-D-Ala-D-Ala)	3.17	3.807	0.833	22.997	4.259	70.0
C05764	Hexadecanoyl-[acp]	5.977	5.755	0.963	116.992	6.816	90.0
C05761	Tetradecanoyl-[acp]	5.57	5.755	0.968	101.509	6.618	80.0
C05760	trans-Tetradec-2-enoyl-[acp]	-4.907	-5.322	0.0	0.0	0.0	50.0
C05763	trans-Hexadec-2-enoyl-[acp]	-4.907	-5.322	0.0	0.0	0.0	50.0
C05762	3-Oxohexadecanoyl-[acp]	8.438	-5.295	0.113	386.07	-5.45	90.0
C00361	dGDP	-2.722	5.896	0.111	66.147	-2.874	70.0
C02992	L-Threonyl-tRNA(Thr)	-5.931	-7.322	0.0	0.0	0.0	50.0
C03090	5-Phosphoribosylamine	3.632	3.945	0.921	27.799	4.678	70.0
C02972	Dihydrolipoylprotein	-9.533	8.195	0.396	1033.88	-8.676	90.0
C01079	Protoporphyrinogen_IX	-4.7	-5.728	0.0	0.0	0.0	50.0
C11435	4-(Cytidine_5'-diphospho)-2-C-methyl-D-erythritol	-1.585	2.939	0.391	10.669	-2.061	70.0
C11436	2-Phospho-4-(cytidine_5'-diphospho)-2-C-methyl-D-erythritol	1.874	-2.663	0.579	9.999	-2.533	70.0
C00857	Deamino-NAD+	-2.322	2.322	1.0	10.0	-3.322	80.0
C04823	1-(5'-Phosphoribosyl)-5-amino-4-(N-succinocarboxamide)-imidazole	-3.807	-4.954	0.0	0.0	0.0	50.0
C01172	beta-D-Glucose_6-phosphate	2.406	6.492	0.371	95.309	5.143	70.0
C00169	Carbamoyl_phosphate	-4.86	-5.087	0.0	0.0	0.0	50.0
C03892	Phosphatidylglycerophosphate	-4.17	-4.585	0.0	0.0	0.0	50.0
C02412	Glycyl-tRNA(Gly)	-6.066	-6.994	0.0	0.0	0.0	50.0
C00680	meso-2,6-Diaminoheptanedioate	-6.666	1.601	0.03	104.58	-1.643	60.0
C02553	L-Seryl-tRNA(Ser)	-5.644	-7.16	0.0	0.0	0.0	50.0
C05378	beta-D-Fructose_1,6-bisphosphate	4.179	9.051	0.462	548.537	7.985	90.0
