compound_code	compound_name	parabacteroides_630_score	clostridium_630_score	ratio	magnitude	interaction_score	percentile
C00025	L-Glutamate	-5.789	2.766	0.123	62.094	-2.933	50.0
C00024	Acetyl-CoA	-3.6	-2.609	0.503	18.227	-3.197	60.0
C00148	L-Proline	2.536	-3.787	0.42	19.604	-3.042	60.0
C00026	2-Oxoglutarate	3.03	-4.224	0.437	26.856	-3.553	60.0
C06481	L-Seryl-tRNA(Sec)	-5.644	-4.858	0.58	79.005	-5.518	80.0
C20440	alpha-D-Ribose_1,2-cyclic_phosphate_5-phosphate	4.585	5.781	0.793	78.987	5.969	90.0
C00352	D-Glucosamine_6-phosphate	4.728	-0.737	0.063	28.168	-0.825	60.0
C00022	Pyruvate	3.014	-4.284	0.415	27.559	-3.514	60.0
C00143	5,10-Methylenetetrahydrofolate	-7.296	4.592	0.153	181.268	-4.798	80.0
C00141	3-Methyl-2-oxobutanoic_acid	5.196	1.566	0.301	39.617	3.578	80.0
C00029	UDP-glucose	3.853	4.689	0.822	40.245	5.047	80.0
C00147	Adenine	3.812	0.149	0.039	15.154	-0.756	70.0
C00144	GMP	-3.869	-1.399	0.18	17.248	-1.638	50.0
C01100	L-Histidinol_phosphate	5.358	0.737	0.138	42.679	2.554	70.0
C05528	3-Sulfopyruvate	-6.476	-4.644	0.281	114.019	-5.001	80.0
C00944	3-Dehydroquinate	-3.858	-3.322	0.69	24.501	-4.079	70.0
C05400	Epimelibiose	5.358	1.0	0.187	43.013	3.005	70.0
C00021	S-Adenosyl-L-homocysteine	-4.883	-4.19	0.619	47.76	-4.885	80.0
C02430	L-Methionyl-tRNA	-4.248	-2.807	0.368	25.999	-3.259	60.0
C00020	AMP	-2.038	-0.115	0.264	5.19	-0.453	70.0
C06311	Galactitol_1-phosphate	-3.222	-7.17	0.065	153.338	-3.313	60.0
C03232	3-Phosphonooxypyruvate	-2.0	1.138	0.55	6.201	-1.77	50.0
C00437	N-Acetylornithine	4.17	-0.926	0.106	19.901	-1.071	60.0
C01081	Thiamin_monophosphate	-5.322	-4.17	0.45	58.003	-4.706	70.0
C05726	S-Substituted_L-cysteine	-5.209	-5.209	1.0	73.977	-6.209	90.0
C06126	Digalactosylceramide	5.358	1.0	0.187	43.013	3.005	70.0
C00725	Lipoate	8.524	5.426	0.637	411.104	8.032	90.0
C00705	dCDP	1.459	4.03	0.362	19.085	2.789	70.0
C06250	Holo-[carboxylase]	-4.524	6.611	0.235	120.755	-4.829	80.0
C04877	UDP-N-acetylmuramoyl-L-alanyl-D-gamma-glutamyl-meso-2,6-diaminopimelate	-1.585	5.248	0.079	41.002	-1.695	50.0
C01185	Nicotinate_D-ribonucleotide	3.632	-3.17	0.726	21.398	-3.957	70.0
C02637	3-Dehydroshikimate	3.104	2.807	0.904	15.596	3.818	80.0
C06007	(R)-2,3-Dihydroxy-3-methylpentanoate	-3.82	-2.248	0.336	18.873	-2.666	50.0
C06006	(S)-2-Aceto-2-hydroxybutanoate	4.672	3.0	0.642	33.492	4.427	80.0
C00010	CoA	-4.807	4.728	0.947	54.495	-5.689	90.0
C02839	L-Tyrosyl-tRNA(Tyr)	-5.248	-6.129	0.543	107.988	-5.874	90.0
C00014	Ammonia	-8.131	6.096	0.244	348.737	-6.411	90.0
C05980	Cardiolipin	-4.954	-2.0	0.129	34.996	-2.175	50.0
C00493	Shikimate	0.617	-0.617	1.0	3.067	-1.617	50.0
C00155	L-Homocysteine	-4.954	-2.7	0.21	37.494	-2.975	50.0
C04823	1-(5'-Phosphoribosyl)-5-amino-4-(N-succinocarboxamide)-imidazole	-3.807	-4.807	0.5	41.99	-4.392	70.0
C00015	UDP	-2.807	2.807	1.0	13.997	-3.807	70.0
C00794	D-Sorbitol	-5.358	8.279	0.132	351.631	-5.537	80.0
C05840	Iminoaspartate	3.585	-3.0	0.667	20.0	-3.737	60.0
C04752	2-Methyl-4-amino-5-hydroxymethylpyrimidine_diphosphate	5.644	4.17	0.739	68.006	5.651	90.0
C04751	1-(5-Phospho-D-ribosyl)-5-amino-4-imidazolecarboxylate	4.17	4.807	0.867	45.994	5.318	90.0
C00886	L-Alanyl-tRNA	-6.229	-6.285	0.962	152.988	-7.201	90.0
C04454	5-Amino-6-(5'-phospho-D-ribitylamino)uracil	-4.322	-4.17	0.9	38.002	-5.096	80.0
C11811	1-Hydroxy-2-methyl-2-butenyl_4-diphosphate	-3.585	6.17	0.167	84.004	-3.807	70.0
C00092	D-Glucose_6-phosphate	7.766	-5.141	0.162	252.956	-5.358	80.0
C05345	beta-D-Fructose_6-phosphate	5.425	-5.033	0.762	75.703	-5.85	90.0
C02336	beta-D-Fructose	4.17	2.632	0.631	24.2	3.933	80.0
C06037	Digalactosyl-diacylglycerol	5.358	1.0	0.187	43.013	3.005	70.0
C03511	L-Phenylalanyl-tRNA(Phe)	-5.426	-1.807	0.081	46.491	-1.92	50.0
C01235	alpha-D-Galactosyl-(1->3)-1D-myo-inositol	5.358	1.0	0.187	43.013	3.005	70.0
C00385	Xanthine	2.459	0.879	0.357	7.337	1.391	70.0
C00229	Acyl-carrier_protein	4.931	-4.728	0.869	57.007	-5.63	90.0
C00882	Dephospho-CoA	1.585	-4.585	0.125	27.001	-1.755	50.0
C00655	Xanthosine_5'-phosphate	-2.7	-1.273	0.372	8.915	-1.729	50.0
C03451	(R)-S-Lactoylglutathione	5.17	7.044	0.734	167.966	6.946	90.0
C00718	Amylose	-4.644	4.129	0.7	42.499	-4.894	80.0
C00546	Methylglyoxal	-5.358	-6.055	0.617	107.5	-6.051	90.0
C03127	L-Isoleucyl-tRNA(Ile)	-6.459	-7.592	0.456	280.913	-7.001	90.0
C03692	1,2-Diacyl-3-beta-D-galactosyl-sn-glycerol	-5.358	-1.0	0.049	43.013	-1.069	60.0
C02291	L-Cystathionine	6.15	3.585	0.583	83.013	5.597	90.0
C00364	dTMP	2.7	-3.459	0.591	17.495	-3.37	60.0
C00365	dUMP	-4.183	-4.248	0.956	37.165	-5.151	80.0
C00009	Orthophosphate	-4.858	-2.0	0.138	33.0	-2.186	50.0
C00008	ADP	2.585	2.841	0.91	13.165	3.582	80.0
C00003	NAD+	-2.415	-3.369	0.516	15.665	-3.015	60.0
C00002	ATP	5.839	3.769	0.645	70.875	5.516	90.0
C00369	Starch	4.508	-4.893	0.766	52.466	-5.328	80.0
C05703	Methaneselenol	-4.977	-8.767	0.072	467.136	-5.078	80.0
C00491	L-Cystine	6.15	3.585	0.583	83.013	5.597	90.0
C15972	Enzyme_N6-(lipoyl)lysine	-5.087	1.585	0.088	36.989	-1.707	50.0
C03722	Quinolinate	2.807	3.17	0.885	15.999	3.824	80.0
C01127	4-Hydroxy-2-oxoglutarate	4.585	3.17	0.691	33.001	4.512	80.0
C06056	4-Hydroxy-L-threonine	-5.285	-5.285	1.0	77.978	-6.285	90.0
C06188	Salicin_6-phosphate	1.0	2.0	0.5	6.0	1.585	70.0
C16618	6-Thioxanthine_5'-monophosphate	3.459	-1.585	0.273	13.997	-1.933	50.0
C05684	Selenite	5.17	9.765	0.529	906.079	8.906	90.0
C05401	3-beta-D-Galactosyl-sn-glycerol	5.358	1.0	0.187	43.013	3.005	70.0
C00254	Prephenate	3.121	1.548	0.496	11.624	2.527	70.0
C00255	Riboflavin	-5.285	5.615	0.796	87.999	-6.129	90.0
