compound_code	compound_name	cd630_streptomycin_score	clostridium_630_score	ratio	magnitude	interaction_score	percentile
C05528	3-Sulfopyruvate	-9.347	-4.644	0.038	676.222	-4.698	70.0
C00944	3-Dehydroquinate	-3.17	-3.322	0.9	19.001	-4.096	70.0
C02430	L-Methionyl-tRNA	-4.585	-2.807	0.292	30.999	-3.176	50.0
C00433	2,5-Dioxopentanoate	2.807	3.0	0.936	14.998	3.811	70.0
C00437	N-Acetylornithine	4.0	-0.926	0.119	17.9	-1.088	60.0
C01181	4-Trimethylammoniobutanoate	-2.807	-3.0	0.875	14.998	-3.714	60.0
C04877	UDP-N-acetylmuramoyl-L-alanyl-D-gamma-glutamyl-meso-2,6-diaminopimelate	4.17	5.248	0.795	56.003	5.476	80.0
C01185	Nicotinate_D-ribonucleotide	6.276	-3.17	0.116	86.494	-3.329	60.0
C16688	Sucrose_6-phosphate	-1.0	2.0	0.5	6.0	-1.585	50.0
C00794	D-Sorbitol	8.912	8.279	0.929	792.321	9.524	90.0
C01233	sn-Glycero-3-phosphoethanolamine	3.907	3.807	0.974	28.998	4.82	80.0
C00226	Primary_alcohol	10.223	4.977	0.487	1226.664	9.222	90.0
C00385	Xanthine	-5.14	0.879	0.052	37.1	-0.952	60.0
C00229	Acyl-carrier_protein	-1.585	-4.728	0.113	29.502	-1.74	50.0
C00499	Allantoate	6.392	7.555	0.846	272.035	7.846	90.0
C00546	Methylglyoxal	-7.028	-6.055	0.509	196.995	-6.649	90.0
C02291	L-Cystathionine	5.392	3.585	0.665	53.991	5.166	80.0
C00364	dTMP	-5.087	-3.459	0.324	44.986	-3.863	60.0
C00365	dUMP	3.7	-4.248	0.684	31.997	-4.452	70.0
C00009	Orthophosphate	-5.728	-2.0	0.075	57.003	-2.105	50.0
C00008	ADP	-6.62	2.841	0.073	105.525	-2.942	50.0
C00003	NAD+	-3.415	-3.369	0.969	20.998	-4.346	70.0
C00002	ATP	6.552	3.769	0.575	107.464	5.95	80.0
C00369	Starch	8.058	-4.893	0.111	296.214	-5.045	80.0
C05703	Methaneselenol	-9.048	-8.767	0.823	964.964	-9.633	90.0
C00376	Retinal	-5.285	-4.044	0.423	55.485	-4.553	70.0
C16618	6-Thioxanthine_5'-monophosphate	2.585	-1.585	0.5	9.0	-2.17	50.0
C00099	beta-Alanine	-2.841	4.261	0.374	26.338	-3.299	60.0
C01931	L-Lysyl-tRNA	-7.257	-1.0	0.013	154.959	-1.019	60.0
C01528	Hydrogen_selenide	-10.043	-8.183	0.275	1345.602	-8.534	90.0
C00091	Succinyl-CoA	7.38	5.85	0.793	224.252	7.474	90.0
C00092	D-Glucose_6-phosphate	-7.999	-5.141	0.138	291.108	-5.327	80.0
C00093	sn-Glycerol_3-phosphate	5.724	-3.17	0.17	61.857	-3.397	60.0
C00094	Sulfite	-2.678	0.342	0.198	7.667	-0.603	60.0
C00095	D-Fructose	-7.811	7.013	0.575	353.725	-7.668	90.0
C00097	L-Cysteine	6.465	-3.694	0.147	101.282	-3.891	60.0
C14099	2-Naphthaldehyde	-10.223	-4.977	0.026	1226.664	-5.015	80.0
C06311	Galactitol_1-phosphate	-8.745	-7.17	0.336	573.057	-7.588	90.0
C14090	1-Naphthaldehyde	-10.223	-4.977	0.026	1226.664	-5.015	80.0
C11948	2,6-Dimethyl-5-methylene-3-oxo-heptanoyl-CoA	2.807	3.459	0.812	17.995	3.868	70.0
C11949	3-Isopropylbut-3-enoyl-CoA	-2.807	-3.459	0.636	17.995	-3.518	60.0
C05775	alpha-Ribazole	-4.087	-4.605	0.698	41.33	-4.851	80.0
C07118	Benzoyl_acetyl-CoA	2.807	3.459	0.812	17.995	3.868	70.0
C00166	Phenylpyruvate	6.647	2.595	0.39	106.26	5.374	80.0
C02988	L-Histidyl-tRNA(His)	-5.672	-6.17	0.708	122.989	-6.444	90.0
C00162	Fatty_acid	2.807	3.0	0.936	14.998	3.811	70.0
C02984	L-Aspartyl-tRNA(Asp)	-6.248	-5.285	0.513	114.993	-5.882	90.0
C00169	Carbamoyl_phosphate	-5.087	-0.308	0.036	35.227	-0.36	60.0
C02047	L-Leucyl-tRNA	-6.615	-6.658	0.971	199.005	-7.594	90.0
C03082	4-Phospho-L-aspartate	-4.858	-3.17	0.31	38.001	-3.56	60.0
C04377	5,10-Methylenetetrahydromethanopterin	-7.087	-7.322	0.85	295.964	-7.974	90.0
C20396	Methylphosphonate	0.322	0.585	0.55	2.75	0.598	60.0
C00860	L-Histidinol	-3.585	1.585	0.25	15.0	-1.907	50.0
C00286	dGTP	-6.519	3.755	0.147	105.211	-3.953	70.0
C04272	(R)-2,3-Dihydroxy-3-methylbutanoate	1.17	-2.248	0.474	7.0	-1.729	50.0
C01419	Cys-Gly	8.276	5.209	0.629	346.962	7.771	90.0
C01149	4-Trimethylammoniobutanal	2.807	3.0	0.936	14.998	3.811	70.0
C01144	(S)-3-Hydroxybutanoyl-CoA	8.666	-2.939	0.019	413.856	-2.966	50.0
C06510	Adenosine-GDP-cobinamide	-4.907	1.0	0.067	32.002	-1.093	50.0
C03402	L-Asparaginyl-tRNA(Asn)	-5.672	-1.0	0.039	52.985	-1.056	60.0
C03406	N-(L-Arginino)succinate	-5.129	-4.392	0.6	55.989	-5.07	80.0
C05512	Deoxyinosine	5.816	-3.0	0.142	64.337	-3.192	60.0
C07645	Aldophosphamide	5.285	4.044	0.765	55.485	5.408	80.0
C01962	Thiocysteine	-5.392	-3.585	0.286	53.991	-3.948	70.0
C00269	CDP-diacylglycerol	-2.585	1.138	0.367	8.201	-1.589	50.0
C00506	L-Cysteate	9.347	4.644	0.497	676.222	8.392	90.0
C00263	L-Homoserine	-0.322	-0.222	0.933	2.416	-1.173	50.0
C00267	alpha-D-Glucose	4.036	-0.628	0.094	17.95	-0.758	60.0
C00469	Ethanol	10.223	4.977	0.487	1226.664	9.222	90.0
C00460	dUTP	4.459	5.044	0.884	54.984	5.603	80.0
C00329	D-Glucosamine	3.0	2.322	0.774	13.0	3.331	70.0
C00288	HCO3-	6.721	6.033	0.898	170.974	7.262	90.0
C04691	2-Dehydro-3-deoxy-D-arabino-heptonate_7-phosphate	-2.0	-2.322	0.8	9.0	-2.848	50.0
C04051	5-Amino-4-imidazolecarboxyamide	-5.492	-1.0	0.044	47.005	-1.063	60.0
C00217	D-Glutamate	5.19	-4.322	0.548	56.505	-4.952	80.0
