cage	mouse	treatment	titer
1	1	Cefoperazone	1.99999
1	2	Cefoperazone	3
1	3	Cefoperazone	1.99999
2	1	Cefoperazone	2.301029996
2	2	Cefoperazone	2.301029996
2	3	Cefoperazone	2.301029996
3	1	Cefoperazone	1.99999
3	2	Cefoperazone	2.301029996
3	3	Cefoperazone	2.301029996
1	1	Streptomycin	1.99999
1	2	Streptomycin	1.99999
1	3	Streptomycin	1.99999
2	1	Streptomycin	3
2	2	Streptomycin	1.99999
2	3	Streptomycin	2.301029996
3	1	Streptomycin	1.99999
3	2	Streptomycin	1.99999
3	3	Streptomycin	1.99999
1	1	Clindamycin	2.301029996
1	2	Clindamycin	2.301029996
1	3	Clindamycin	2.301029996
2	1	Clindamycin	2.301029996
2	2	Clindamycin	2
2	3	Clindamycin	1.99999
3	1	Clindamycin	1.99999
3	2	Clindamycin	2.301029996
3	3	Clindamycin	2.301029996
1	1	Germfree	3
1	2	Germfree	3
1	3	Germfree	3
2	1	Germfree	3
2	2	Germfree	3
2	3	Germfree	3
3	1	Germfree	3
3	2	Germfree	3
3	3	Germfree	3
1	1	Conventional	1.99999
1	2	Conventional	1.99999
1	3	Conventional	1.99999
2	1	Conventional	1.99999
2	2	Conventional	1.99999
2	3	Conventional	1.99999
3	1	Conventional	1.99999
3	2	Conventional	1.99999
3	3	Conventional	1.99999
