norm_reads_630	norm_reads_mock	pathway
307.392851865	1178.52859447	Carbohydrate_metabolism
0.0	5.08864103245	Xenobiotics_biodegradation_and_metabolism
120.655681622	421.741655886	Nucleotide_metabolism
17.0630384585	37.6739007063	Transcription
131.55712951	627.269912485	Amino_acid_metabolism
24.1293305329	138.238681609	Glycan_biosynthesis_and_metabolism
73.008403636	319.743212728	Metabolism_of_cofactors_and_vitamins
7.67340921772	29.0048171749	Metabolism_of_terpenoids_and_polyketides
285.101192616	607.689451119	Translation
55.021203847	178.792783771	Folding,_sorting_and_degradation
63.9564637584	293.994051126	Energy_metabolism
950.866639912	4031.58910946	Global_and_overview_maps
47.1225796652	142.25539828	Lipid_metabolism
8.23548242078	60.2310162677	Biosynthesis_of_other_secondary_metabolites
5.23619822086	40.0754926175	Signal_transduction
19.1579344772	130.913462761	Metabolism_of_other_amino_acids
46.932237029	289.067736797	Replication_and_repair
49.0606793287	181.030387651	Membrane_transport
