norm_reads_630	norm_reads_mock	pathway
15718.7728468	4223.27138559	Nucleotide_metabolism
1530.7433015	356.872966773	Transcription
219570.80922	83760.6192303	Global_and_overview_maps
99049.3699145	38522.8077152	Carbohydrate_metabolism
0.737946428571	3.58531746032	Cell_motility
0.0	0.0	Signaling_molecules_and_interaction
18533.1056161	8353.79842756	Amino_acid_metabolism
6839.59040784	1709.77060743	Lipid_metabolism
38301.3266655	5641.92461917	Translation
8823.27930816	2181.83528638	Replication_and_repair
5752.94161844	701.128341961	Xenobiotics_biodegradation_and_metabolism
0.0	0.0	Cell_communication
2884.99118141	869.469983237	Glycan_biosynthesis_and_metabolism
6399.06549994	1927.35287626	Metabolism_of_cofactors_and_vitamins
2530.81664559	434.829363668	Biosynthesis_of_other_secondary_metabolites
1.20042643923	1.99147121535	Transport_and_catabolism
2518.64563351	937.485204103	Signal_transduction
14966.2643365	3075.67570995	Membrane_transport
11461.4782614	5235.01125081	Folding,_sorting_and_degradation
0.103448275862	0.48275862069	Cell_growth_and_death
2505.08916953	380.321649184	Metabolism_of_terpenoids_and_polyketides
24983.2721027	10287.1397807	Energy_metabolism
5137.04042332	1105.70980807	Metabolism_of_other_amino_acids
