norm_reads_630	norm_reads_mock	pathway
0.0	2.58496250072	Carbohydrate_metabolism
25.8616148952	15.4226155524	Nucleotide_metabolism
4.78135971352	2.75077139369	Amino_acid_metabolism
21.6360464903	12.192352019	Metabolism_of_cofactors_and_vitamins
8.83391574833	4.75633091903	Metabolism_of_terpenoids_and_polyketides
8.83391574833	4.75633091903	Biosynthesis_of_other_secondary_metabolites
90.8857689461	54.2209337905	Global_and_overview_maps
15.9172788309	8.57763862881	Lipid_metabolism
2.58496250072	0.0	Translation
0.0	2.58496250072	Signal_transduction
